,number_of_rooms,area,storey_number,total_storey_number,price,district,complex_name,year,condition
169,2,51.06,7,18,15300000,Алматы,Томирис,2020,
170,1,21.6,3,4,7900000,,,2008,хорошее
171,3,89.0,2,3,14320000,Есиль,МЖК Астана,2022,
172,1,35.92,2,3,6900000,Есиль,,2021,черновая
173,2,73.0,10,12,25700000,Есиль,Саржайлау,2018,евроремонт
174,1,40.0,5,7,15500000,Есиль,,2015,хорошее
175,1,37.0,8,9,9300000,Алматы,Сатурн,2021,черновая
176,1,37.0,4,5,14000000,Алматы,,1985,хорошее
177,2,68.2,1,5,17500000,Алматы,,2011,хорошее
178,3,85.8,13,18,21000000,Сарыарка,,2008,хорошее
179,1,42.0,,,13700000,Есиль,Жагалау,2021,черновая
180,4,165.0,3,6,130000000,Алматы,Итальянский квартал,2015,евроремонт
181,2,44.1,,,14112000,,AiSafi,2021,
182,1,69.6,,,24360000,,R Club,2022,
183,1,42.0,21,21,24000000,Есиль,Atlant,2021,черновая
184,4,106.5,8,10,36000000,Алматы,,2010,хорошее
185,3,97.0,4,9,51000000,,Park Avenue,2018,евроремонт
186,4,218.0,7,8,138000000,Есиль,Янтарный,2015,
187,2,59.0,10,11,22000000,,Форт Строй,2009,хорошее
188,1,54.0,2,9,16000000,Есиль,Кен Дала,2021,черновая
189,3,89.9,11,16,34950000,,Мкр Самал,2000,евроремонт
190,2,87.0,5,9,32000000,Алматы,Аулие Ата,2018,евроремонт
191,3,57.0,3,6,17900000,Алматы,,1993,хорошее
192,1,47.0,4,8,13500000,Алматы,Марс,2020,черновая
193,1,48.0,3,9,16300000,Алматы,Жасмин,2015,евроремонт
194,2,63.0,4,10,27800000,Есиль,Art House,2017,евроремонт
195,1,39.0,2,10,18000000,Алматы,Каражат,2015,хорошее
196,1,40.57,,,9533950,Есиль,Boston Comfort,2021,
197,2,61.0,8,8,26999900,Есиль,Adal,2020,евроремонт
198,3,91.0,,,30000000,Алматы,Аль Фараби,2010,евроремонт
199,2,75.0,4,9,29000000,Есиль,Сауран,2007,требует
200,2,55.0,1,3,8800000,Есиль,МЖК Астана,2021,
201,1,54.0,2,14,17500000,Сарыарка,Сапа,2007,среднее
202,2,50.58,,,13150800,,Budapest,2021,
203,3,91.33,,,39722888,,Highvill Ishim,2021,
204,3,90.73,,,26765350,Есиль,Эмир,2021,
205,1,74.5,,,26075000,,R Club,2022,
206,3,83.0,9,14,28000000,Сарыарка,Скиф,2011,евроремонт
207,3,80.3,9,10,26900000,,Южный,2007,
208,1,42.91,5,21,12000000,Алматы,Томирис,2020,
209,2,69.39,,,16653600,Есиль,Cosmic City,2021,
210,3,121.0,6,8,54000000,Есиль,Асем Тас,2014,евроремонт
211,3,60.0,3,6,17250000,Алматы,,1993,среднее
212,4,155.0,8,21,79000000,Есиль,Astoria,2020,черновая
213,2,55.2,3,9,22000000,Есиль,Сауран,2007,евроремонт
214,1,36.0,8,11,14000000,,Форт Строй,2009,евроремонт
215,3,120.0,2,8,73000000,,Итальянский квартал,2016,евроремонт
216,3,126.0,5,8,52500000,Есиль,Асем Тас,2014,евроремонт
217,4,160.0,8,12,79000000,Есиль,Grand Opera,2020,черновая
218,1,35.0,1,5,11900000,Сарыарка,,2014,хорошее
219,3,82.0,3,5,26300000,Есиль,,2018,евроремонт
220,1,39.0,2,9,14500000,Есиль,Nova City,2018,евроремонт
221,1,40.0,2,9,15900000,Есиль,Nova City,2018,евроремонт
222,2,55.0,11,19,32900000,Есиль,Зелёный квартал,2017,евроремонт
223,4,130.0,7,,42999999,Есиль,Отан,2015,евроремонт
224,2,70.0,7,9,23000000,Алматы,Ак Дала,2007,хорошее
225,2,52.5,,,16999999,Алматы,Саламат,2015,хорошее
226,3,113.0,,,37917000,Есиль,Научный,2020,
227,2,64.4,,,18676000,Есиль,Inju city,2021,
228,2,60.8,,,21280000,Есиль,Коркем,2019,
229,1,36.07,,,11129038,,Жеруйык,2021,
230,4,93.3,,,25191000,,AiSafi,2021,
231,3,80.0,3,8,35500000,Есиль,Алем (Асем,2020,черновая
232,4,155.0,8,21,79000000,Есиль,Astoria,2019,
233,2,67.5,6,21,21000000,Алматы,Гранд Астана,2012,хорошее
234,4,114.0,8,10,47000000,Есиль,Apple City,2020,черновая
235,1,43.0,4,10,14500000,Алматы,Жасмин,2006,хорошее
236,2,51.0,21,22,27500000,Сарыарка,,2018,хорошее
237,3,71.0,8,9,29000000,Алматы,,2005,хорошее
238,4,166.0,4,7,220000000,Есиль,Sultan apartaments,2015,евроремонт
239,2,63.0,11,19,26000000,Алматы,Millennium Park,2015,
240,2,58.14,6,10,11918700,,Оазис,2021,
241,1,37.2,,,11532000,,Ансар,2021,
242,1,44.42,,,11016160,,София,2021,
243,2,77.45,,,27107500,,R Club,2022,
244,4,127.1,14,18,71000000,Есиль,Dream City,2019,евроремонт
245,4,200.0,5,6,130999999,Алматы,Сулу,2015,евроремонт
246,2,62.0,9,14,24500000,Есиль,Номад,2010,евроремонт
247,4,110.7,5,13,36000000,Алматы,,2009,евроремонт
248,2,60.2,5,16,19900000,Алматы,Достар,2012,евроремонт
249,1,37.0,8,9,16000000,Есиль,Арнау,2018,евроремонт
250,1,33.0,5,12,12100000,,Bravo,2021,
251,1,45.3,11,12,18000000,Есиль,Capital Park,2020,
252,2,70.0,3,8,24000000,Есиль,,2015,евроремонт
253,2,93.0,9,18,27000000,Сарыарка,Европейский,2010,евроремонт
254,1,55.0,9,15,20000000,Есиль,Саржайлау,2016,хорошее
255,4,75.0,3,5,20000000,Сарыарка,,1986,хорошее
256,2,70.0,7,8,33000000,Есиль,Янтарный,2016,евроремонт
257,2,45.1,,,14792800,,AiSafi,2021,
258,2,62.55,,,16388100,Алматы,Сенатор Park,2021,
259,1,48.0,8,14,14500000,Сарыарка,Скиф,2010,среднее
260,4,125.0,7,9,38000000,Алматы,,2009,евроремонт
261,3,101.0,2,16,46000000,Есиль,Park Avenue,2020,
262,1,50.0,4,9,15600000,Сарыарка,Тулпар (Объединение,2020,черновая
263,3,89.0,9,17,32000000,Алматы,Речной квартал,2015,евроремонт
264,2,49.0,3,6,14500000,Сарыарка,,1988,хорошее
265,2,77.3,9,12,29500000,Алматы,Аксиома,2017,евроремонт
266,1,50.49,,,13379850,,Sapsan,2022,
267,4,136.0,39,41,45000000,Есиль,Северное сияние,2008,евроремонт
268,4,136.0,8,9,47000000,Есиль,Тулпар,2005,евроремонт
269,1,41.71,3,10,10427500,Алматы,Самгау,2021,
270,3,96.0,8,10,22560000,Алматы,Самгау,2021,
271,1,42.6,5,10,10224000,Алматы,Самгау,2021,
272,3,101.0,2,8,62000000,Есиль,,2018,евроремонт
273,1,47.0,9,14,15900000,Есиль,,2016,хорошее
274,2,114.0,6,9,85000000,Алматы,,2018,хорошее
275,2,55.26,,,14367600,,Budapest,2021,
276,2,75.4,,,18096000,Есиль,Cosmic City,2021,
277,2,69.76,,,16951680,,София,2021,
278,1,45.0,,,16200000,Есиль,Алматау,2017,
279,3,122.9,,,54479450,Есиль,Grand Opera,2020,
280,3,78.94,,,20524400,Алматы,ViewPark,2021,
281,3,72.0,,,20880000,,Ансар,2021,
282,4,189.88,,,151904000,Есиль,Baisanat,2019,
283,2,79.82,,,35120000,,Liberty,2019,
284,1,46.54,,,18150600,Есиль,Асем Тас,2020,
285,2,96.1,,,33635000,,R Club,2022,
286,2,48.0,5,10,21500000,Есиль,Brussels,2020,евроремонт
287,3,120.0,15,19,44500000,,Шапагат нуры,2010,евроремонт
288,3,93.0,2,3,36000000,Есиль,Apple City,2020,
289,1,34.5,7,9,14000000,,,2020,евроремонт
290,3,76.0,4,10,24500000,Алматы,,2015,евроремонт
291,2,65.0,10,12,30000000,Есиль,Сармат,2012,евроремонт
292,4,142.0,14,26,87000000,Алматы,Хайвил Астана,2017,евроремонт
293,2,49.12,7,22,19500000,Есиль,Only Sun,2021,черновая
294,3,130.0,6,7,56000000,Есиль,Дельфин,2009,евроремонт
295,2,60.0,5,10,22400000,Алматы,Сарайшик,2013,евроремонт
296,4,107.0,8,13,49500000,Есиль,Каратау,2017,евроремонт
297,2,76.0,7,12,26000000,Алматы,Туркестан,2014,хорошее
298,1,31.6,4,9,6478000,Есиль,Оазис,2021,
299,4,94.77,3,9,19427850,Есиль,Оазис,2021,
300,2,62.0,10,12,28000000,Есиль,Нурсая,2007,хорошее
301,1,40.3,8,9,14000000,Есиль,Кулагер,2014,
302,4,129.53,,,51831041,,Highvill Ishim,2021,
303,1,37.85,,,11165750,Есиль,Эмир,2021,
304,3,96.1,,,25947000,,AiSafi,2021,
305,3,108.0,,,37800000,,R Club,2022,
306,2,56.68,,,16437200,,Жеруйык,2021,
307,2,58.0,2,9,26200000,Есиль,SClub,2020,черновая
308,2,51.06,8,22,15300000,Алматы,Томирис,2020,
309,1,39.0,7,10,14500000,Есиль,Варшава,2020,черновая
310,3,106.0,2,12,38000000,Сарыарка,Жагалау,2006,хорошее
311,4,103.2,10,25,29999900,Сарыарка,Свечки,2000,хорошее
312,1,48.0,2,5,14500000,Есиль,Араби,2014,хорошее
313,4,148.0,2,8,43800000,Сарыарка,Ельтай,2010,хорошее
314,2,52.8,8,21,18500000,Алматы,Гранд Астана,2012,хорошее
315,2,70.0,9,10,28000000,,Гулистан,2009,евроремонт
316,3,69.5,,,18765000,,AiSafi,2021,
317,1,36.1,10,10,13500000,Алматы,Достык,2010,хорошее
318,3,95.1,8,9,40000000,Есиль,Арман кала,2015,евроремонт
319,2,63.0,7,9,21000000,Есиль,,2015,
320,2,55.0,5,10,22000000,Есиль,Apple City,2020,евроремонт
321,1,45.0,4,13,17000000,,Жастар,2011,евроремонт
322,1,40.0,2,9,14200000,Алматы,Жастар,2010,среднее
323,1,50.0,16,22,16500000,Алматы,Москва,2010,хорошее
324,3,115.0,,,38775000,Есиль,Научный,2020,
325,2,66.1,,,23399400,Есиль,Коркем,2019,
326,3,84.63,,,24542700,Есиль,Inju city,2021,
327,1,47.0,10,10,16500000,Есиль,Apple City,2020,евроремонт
328,2,48.0,10,16,17000000,Алматы,,2007,хорошее
329,2,68.0,6,9,29900000,Есиль,,2017,евроремонт
330,2,57.2,8,10,26000000,Алматы,,2017,евроремонт
331,1,43.0,3,12,17200000,Есиль,Айсанам,2017,хорошее
332,2,50.0,3,9,18500000,,Barys City,2021,
333,2,84.0,9,36,31800000,Есиль,Триумф Астаны,2007,хорошее
334,1,45.0,2,9,16000000,,Мереке,2012,евроремонт
335,1,40.0,2,9,14500000,,Акерке,2015,хорошее
336,6,272.0,7,12,100000000,,Атамекен,2008,хорошее
337,1,24.0,2,5,7300000,Алматы,,2004,хорошее
338,1,48.7,8,10,14700000,Сарыарка,Аль Арка,2007,
339,3,110.3,,,38605000,,R Club,2022,
340,1,23.0,3,5,7000000,,,2005,среднее
341,2,60.1,9,10,27500000,Есиль,Liberty,2020,черновая
342,4,107.0,5,14,36500000,Есиль,Номад,2012,хорошее
343,4,122.4,3,9,46500000,Есиль,Венский квартал,2017,
344,2,63.0,9,9,32000000,Алматы,Akbulak Town,2015,евроремонт
345,2,54.3,15,18,19000000,Алматы,Жайна,2015,хорошее
346,2,74.0,4,12,17000000,,,2020,требует
347,1,36.0,7,10,12500000,,По,2010,среднее
348,1,35.56,9,10,12100000,,,2021,
349,2,84.0,5,5,23700000,Алматы,Красная деревня,1999,хорошее
350,2,67.32,8,10,19500000,Есиль,Brussels,2021,
351,4,141.0,4,7,52000000,Сарыарка,,2001,хорошее
352,5,180.2,14,16,62000000,Есиль,,2014,евроремонт
353,3,101.0,4,9,55000000,Есиль,BI City,2016,евроремонт
354,3,84.5,2,3,44900000,Есиль,Comfort Town,2016,евроремонт
355,2,94.0,5,10,50000000,Есиль,Caspian Palace,2013,хорошее
356,3,90.0,8,16,33000000,Алматы,Мкр Самал,2002,хорошее
357,2,82.1,9,16,25000000,Сарыарка,,2012,хорошее
358,1,51.4,,,13621000,,Sapsan,2022,
359,1,34.36,4,9,7043800,Есиль,Оазис,2021,
360,3,72.0,8,16,22800000,Алматы,,2007,хорошее
361,1,38.9,3,3,6418000,Есиль,МЖК Астана,2021,
362,2,71.8,13,16,23900000,Есиль,,2014,
363,2,62.0,10,10,22000000,Алматы,Каражат,2014,евроремонт
364,5,214.0,9,11,68000000,Сарыарка,,2000,евроремонт
365,7,391.0,3,5,260000000,,,2017,свободная
366,2,63.58,,,18438200,,Жеруйык,2021,
367,4,122.0,3,21,71000000,Есиль,Highvill Park,2017,евроремонт
368,1,37.0,2,3,7300000,Есиль,,2017,хорошее
369,2,80.0,2,10,29000000,Есиль,Дипломат,2010,евроремонт
370,3,70.0,1,5,42000000,Сарыарка,,1990,евроремонт
371,1,43.5,4,7,17000000,Есиль,Sati Club,2021,черновая
372,5,95.2,,,28940800,,AiSafi,2021,
373,2,95.3,17,22,27950000,,Виктория,2016,евроремонт
374,2,57.0,4,8,24300000,,Камал,2016,
375,2,62.7,18,18,23000000,Алматы,Жануя,2011,хорошее
376,1,44.0,7,9,17000000,,По Янушкевича,2005,хорошее
377,3,135.0,8,8,49500000,Есиль,Paris,2020,черновая
378,3,90.0,2,10,29500000,Есиль,Manhattan,2020,
379,1,37.7,5,6,12300000,Алматы,,1990,евроремонт
380,3,97.9,9,12,32500000,Алматы,Восток,2007,хорошее
381,4,69.0,4,9,24000000,,,1999,хорошее
382,2,68.0,12,13,26900000,Алматы,Nur Aspan,2016,евроремонт
383,1,36.0,13,14,13500000,Алматы,Кулан,2010,евроремонт
384,2,45.1,16,16,15500000,Алматы,Сенатор,2017,хорошее
385,2,55.33,,,14385800,,Budapest,2021,
386,3,78.3,,,18635400,,София,2021,
387,3,86.44,,,23203200,Алматы,ViewPark,2021,
388,2,74.0,,,26640000,Есиль,Алматау,2017,
389,3,121.7,,,56051566,Есиль,Grand Opera,2020,
390,3,88.6,,,26580000,,Ансар,2021,
391,4,121.87,,,51190000,,Liberty,2019,
392,3,101.1,,,44484000,Есиль,Асем Тас,2020,
393,4,209.82,,,167856000,Есиль,Baisanat,2019,
394,2,63.2,11,14,20400000,,,2015,хорошее
395,1,40.0,6,9,15000000,Есиль,,2016,
396,3,59.0,4,5,16500000,Сарыарка,,1990,хорошее
397,3,127.0,9,12,42500000,,Каминный,2006,хорошее
398,2,61.0,10,18,23000000,Есиль,Алатау,2008,хорошее
399,3,77.2,,,20458000,,Sapsan,2022,
400,4,103.16,,,30952126,,Жеруйык,2021,
401,3,98.42,,,23620800,Есиль,Cosmic City,2021,
402,4,140.0,5,8,75000000,Есиль,Atlant,2020,
403,2,50.0,10,16,15000000,Сарыарка,Тамыз,2014,евроремонт
404,3,133.0,8,8,49500000,Есиль,Paris,2020,черновая
405,1,36.0,10,16,12500000,Есиль,Nova City,2020,
406,3,93.0,5,12,35000000,Сарыарка,,2008,евроремонт
407,3,69.8,6,8,37000000,Алматы,Бейбарыс,2017,евроремонт
408,1,35.0,3,7,12900000,Алматы,,2017,евроремонт
409,4,145.0,13,24,89000000,,Хайвил Астана,2015,евроремонт
410,3,97.0,10,14,52778899,Есиль,Park Avenue,2017,евроремонт
411,4,159.0,3,7,150000000,Есиль,Триумфальный,2013,хорошее
412,4,97.0,9,10,27900000,Есиль,Градокомплекс,2010,евроремонт
413,3,77.0,25,26,19500000,Алматы,Эгалите,2009,хорошее
414,1,26.0,2,3,4940000,Есиль,МЖК Астана,2021,
415,3,79.0,6,9,29900000,Есиль,Градкомплекс,2009,среднее
416,1,51.74,,,13452400,,Budapest,2021,
417,2,75.4,3,18,24500000,Алматы,Жайна,2016,евроремонт
418,1,35.6,3,9,13800000,Алматы,Достар,2011,хорошее
419,1,37.2,,,11160000,Есиль,,2021,
420,2,83.0,4,9,25000000,,Аулие Ата,2016,
421,1,18.0,,,4000000,,,2014,хорошее
422,1,37.0,10,10,12500000,Алматы,Енлик,2010,хорошее
423,1,31.1,2,4,10800000,Сарыарка,,1964,хорошее
424,2,45.1,1,7,18000000,,Омир Озен,2020,евроремонт
425,2,43.7,5,5,14800000,Сарыарка,,1971,хорошее
426,2,64.76,,,18780400,,Жеруйык,2021,
427,1,49.6,12,12,17000000,Сарыарка,Запад,2010,евроремонт
428,2,50.0,9,9,17800000,Алматы,Достар,2008,хорошее
429,2,62.6,,,18780000,,Ансар,2021,
430,5,106.7,,,29449200,,AiSafi,2021,
431,2,64.64,,,15707520,,София,2021,
432,2,56.2,2,12,27800000,Есиль,BI City,2018,евроремонт
433,1,38.0,7,10,7790000,Есиль,,2021,
434,2,94.5,18,18,30000000,Сарыарка,Европейский,2010,
435,1,36.0,2,5,12600000,Алматы,,1985,евроремонт
436,4,138.0,19,21,80000000,Есиль,Highvill Park,2017,евроремонт
437,3,60.0,2,4,13000000,Алматы,,1970,хорошее
438,2,59.4,3,3,9504000,Есиль,МЖК Астана,2021,
439,2,72.53,,,19220450,,Sapsan,2022,
440,2,57.84,8,9,19293000,Есиль,Nova City,2021,черновая
441,3,90.6,4,8,42900000,Есиль,Арнау,2017,хорошее
442,1,39.0,3,9,16400000,Есиль,Barys City,2020,евроремонт
443,1,14.0,4,5,5000000,Алматы,,1984,хорошее
444,4,136.7,7,9,60000000,Есиль,SClub,2020,
445,3,105.99,,,25437600,Есиль,Cosmic City,2021,
446,1,68.0,1,9,17950000,Есиль,Жагалау,2010,хорошее
447,2,101.0,11,17,27000000,Алматы,Ак Шанырак,2020,черновая
